channel_handle,channel_name,video_id,title,view_count,like_count,comment_count,duration,duration_seconds,upload_date,upload_hour,day_of_week
@TBHLabsMyanmar,TBH Labs,6--JMdj-0oo,ကလေးမိဘတွေသတိထားသင့်တဲ့ brain rot content တွေ,41579,4101,278,17:54,1074,2026-02-27,12:30,Friday
@MMTR,Myanmar Mobile Phones & Tech Review,kDJXR7BdJOE,Air ဆိုတဲ့ နာမည်နဲ့ အရမ်းတော့မလိုက်ဖက်နေတဲ့ Gaming Phone - RED Magic 11 Air,3124,220,12,8:06,486,2026-02-27,04:12,Friday
@MyTechMyanmar,MyTech Myanmar,Y5X_SUOB6v0,Xiaomi 17 Ultra ကြီးကမိုက်လိုက်တာကွာ xD,1560,83,2,113:18,6798,2026-02-27,14:41,Friday
@zestvlog,ZEST,v5sH_NLsK_s,Samsung Galaxy S26 Ultra  Recap Video,4250,353,36,12:23,743,2026-02-27,01:30,Friday
@TBHLabsMyanmar,TBH Labs,_igICtuRzqU,ရုပ်ရှင်တွေထဲက မုသားဖော်စက်တွေက ခင်ဗျားတို့ထင်ထားသလိုမဟုတ်ဘူး...,61849,4001,200,14:47,887,2026-02-26,12:30,Thursday
@MMTR,Myanmar Mobile Phones & Tech Review,CUV1R-CIPgQ,SAMSUNG Galaxy S26 Ultra မှာပါတဲ့ Privacy Display ဆိုတာဘယ်လိုမျိုးလဲ ?,465,29,1,0:48,48,2026-02-26,08:35,Thursday
@MMTR,Myanmar Mobile Phones & Tech Review,AqRpAnHq4Z8,Galaxy S26 Ultra Unboxing,985,78,3,2:06,126,2026-02-26,01:30,Thursday
@MyTechMyanmar,MyTech Myanmar,_M5ngFMwX5A,K80 Ultra vs Win RT,597,31,5,0:30,30,2026-02-26,12:12,Thursday
@technity17,Technity,dOkNN3vVIeE,Trend ဆိုတာ ဘာလဲပြသွားတဲံ့ဖုန်း,398,27,1,1:15,75,2026-02-26,11:30,Thursday
@T4U2MM,T4U2,2hs8olBuPHM,Aluminum နဲ့ပဲ ဒါပေမဲ့ AI တော့ သုံးခုတောင် ပါတယ်,12021,648,48,7:56,476,2026-02-26,11:30,Thursday
@TBHLabsMyanmar,TBH Labs,5ZnYKZDCNew,Tech လောက က တိုက်ပွဲများ,72522,5194,281,16:58,1018,2026-02-25,12:30,Wednesday
@MMTR,Myanmar Mobile Phones & Tech Review,RxsOzf3OT2Y,ခုနကပဲ မိတ်ဆက်ပေးသွားတဲ့ Galaxy S26 Series မှာဘာတွေထူးခြားသွားလဲ ?,22400,1004,76,7:00,420,2026-02-25,18:50,Wednesday
@MMTR,Myanmar Mobile Phones & Tech Review,tJpszH-jxZo,ပေါ့ပေါ့ပါးပါးနဲ့  Battery ပိုင်းမှာလဲ အကြာကြီးအားခံတဲ့  - realme 15T ( First Impression ),5255,317,15,7:34,454,2026-02-25,04:51,Wednesday
