video_id,title,view_count,like_count,comment_count,duration,duration_seconds,upload_date,upload_hour,day_of_week,category
6--JMdj-0oo,ကလေးမိဘတွေသတိထားသင့်တဲ့ brain rot content တွေ,31671,3882,259,17:54,1074,2026-02-27,12:30,Friday,Knowledge
_igICtuRzqU,ရုပ်ရှင်တွေထဲက မုသားဖော်စက်တွေက ခင်ဗျားတို့ထင်ထားသလိုမဟုတ်ဘူး...,61065,3988,200,14:47,887,2026-02-26,12:30,Thursday,Knowledge
5ZnYKZDCNew,Tech လောက က တိုက်ပွဲများ,72158,5191,281,16:58,1018,2026-02-25,12:30,Wednesday,Knowledge
u5OaxYpL1Is,Wassup : Hollywood ကို ဖင်တုန်သွားစေတဲ့ China AI,107068,7320,317,10:31,631,2026-02-24,12:31,Tuesday,Wassup
A3w5Fs1BLHM,DVD အငှားဆိုင်လေးကနေ No.1 Video Streaming Company ကြီး ဖြစ်လာတဲ့ Netflix,72454,4590,215,15:21,921,2026-02-23,12:30,Monday,Knowledge
bndoYTcpLrM,iPhone ကခိုးတာလား Android က ခိုးတာလား။,123498,6878,402,17:42,1062,2026-02-22,12:30,Sunday,Knowledge
d5encRfpBC8,ဒါတွေမရှိတော့ရင် ကမ္ဘာကြီးတစ်ခုလုံး စီးပွားပျက်သွားနိုင်တယ် ...,87867,5330,250,21:58,1318,2026-02-21,12:30,Saturday,Knowledge
1AnYAlEFqqM,Tech ကိုထိန်းထားတဲ့ Law တွေ,73539,4361,170,16:19,979,2026-02-20,12:30,Friday,Knowledge
wV4GkNuevW8,အရမ်းမိုက်ပေမယ့် သုံးစားမရတဲ့ဖုန်းဆိုတာဒါမျိုး,71764,3304,153,15:29,929,2026-02-19,12:31,Thursday,Review
vQr7oUartxE,Brand အစွဲမရှိဘူးဆိုရင် ညွှန်းပေးလို့ ကောင်းမယ့် ဖုန်း...,63093,3108,252,11:05,665,2026-02-18,12:31,Wednesday,Review
UZgNKaNZNmc,မသေဆေးရှာပုံတော်,146738,9530,785,17:09,1029,2026-02-17,12:30,Tuesday,Knowledge
h-6nSrNL3JI,Social Media တွေက တကယ်ပဲ ကျွန်တော်တို့ပြောတာတွေ ခိုးနားထောင်နေတာလား?,76144,4831,259,12:02,722,2026-02-16,12:31,Monday,Knowledge
FCvAe3VqVLw,Photographic Memory ဆိုတာ တကယ်ရှိလား..,72547,4462,333,15:42,942,2026-02-15,12:30,Sunday,Knowledge
rPIRq48Gfkc,Grab ဘယ်လိုအလုပ်လုပ်လဲ?,110752,6507,297,24:09,1449,2026-02-14,12:31,Saturday,Knowledge
pdisIuj0ILw,Redmi Turbo 5 Max ကို ပါကင်ဖောက်ကြည့်မယ်...,81291,4307,388,8:34,514,2026-02-13,12:31,Friday,First Impressions
AxRJbM33TNY,Facebook ပေါ်မှာ လောင်းကစားကြော်ငြာတွေဘာလို့များနေတာလဲ?,45093,4080,215,11:20,680,2026-02-12,12:30,Thursday,Knowledge
iQvuPoK-QZk,MacBook သုံးတဲ့ကောင်တွေကို မော့ကြည့်ခွင့်ရပြီ,64208,2378,134,16:14,974,2026-02-11,12:31,Wednesday,Knowledge
o7ZxuD7SQaA,ရပ်နီး/ရပ်ဝေး ဖုန်းပြောနိုင်သည်။,90484,4667,295,20:11,1211,2026-02-10,12:31,Tuesday,Knowledge
Ee8cbRtBUpY,ကိုယ့်ဖုန်းကို လွယ်လွယ်ပြင်နိုင်ဖို့ တကယ်ပဲ အရေးကြီးလား?,64722,3204,189,17:57,1077,2026-02-09,12:30,Monday,Knowledge
ukY7xeCkEfk,Kiwi Ears Cadenza : ၁သိန်းခွဲတန် ရှယ်နားကျပ်?,36774,1841,157,11:35,695,2026-02-07,12:31,Saturday,Review
vvcDALEFTlE,Sony ဖုန်းတွေနောက်ပိုင်း ဘာလို့ niche Market ကိုပဲ ဦးတည်တော့တာလဲ ?,67448,3230,197,7:52,472,2026-02-06,12:31,Friday,Knowledge
_ZBHdz9h92o,ကိုင်ရတဲ့ Feel လေးက အသက်,31046,1500,99,12:12,732,2026-02-05,12:30,Thursday,Showcases
f7VCP6-n6u0,အကြမ်းခံ Camera ကောင်းတဲ့ ခေါက်ဖုန်း?,35183,1551,93,14:39,879,2026-02-04,10:30,Wednesday,Showcases
oTE99cTcb64,Official ဝင်တဲ့ ဖုန်းတွေထဲမှာ Battery အကိတ်ဆုံးဖုန်း...,63441,3015,216,12:32,752,2026-02-03,13:30,Tuesday,Showcases
dptPu5lc3QM,Laptop Drop Test ဆိုတာကိုကြားဖူးလား?,38266,1939,182,7:52,472,2026-02-02,12:31,Monday,Showcases
ukF9bqdAy9o,Game လောကရဲ့ လက်မည်းကြီး,160581,7554,379,19:48,1188,2026-01-30,12:31,Friday,Knowledge
xJSkgCbg0Ts,OnePlus 15 : ငြိမ်းခါနီး နောက်ဆုံးထတောက်တဲ့မီးလျှံလား???,78078,3154,216,21:22,1282,2026-01-28,12:31,Wednesday,Review
7x2gE-QKJb4,လူတိုင်းအတွက်လွယ်တယ် ဒါပေမယ့်..,86692,4139,155,17:42,1062,2026-01-26,12:30,Monday,Knowledge
T6US7XRQ2xM,သုံးရတာတကယ်ပိုမိုက်လာတဲ့ OPPO ရဲ့ ColorOS 16,37155,1772,144,9:08,548,2026-01-24,12:30,Saturday,Showcases
iJhhYvevVsQ,iPhone Ultra : Foldable iPhone ထွက်လာရင် ဘယ်လိုဖြစ်နိုင်လဲ,87883,3039,137,14:59,899,2026-01-23,12:30,Friday,Knowledge
uSbk_Ssf5tw,ပေးရတဲ့ဈေးနဲ့ အတော်တန်တဲ့ TWS တွေရှာနေရင်ဒါကိုကြည့်,43936,2111,147,27:05,1625,2026-01-21,12:31,Wednesday,uncategorized
OkZOrpwrrvY,အိမ်မှာ အင်တာနက်တပ်ဖို့ ၊ လိုင်းပြောင်းဖို့ ရှိတယ်ဆိုရင်  ဒီ video ကိုအရင်ကြည့်..,138906,7686,514,32:33,1953,2026-01-19,12:30,Monday,Knowledge
ejrYgUNVcNA,Nintendo : Game လောကရဲ့ ကယ်တင်ရှင်,119620,4437,200,37:02,2222,2026-01-15,12:31,Thursday,Knowledge
kMYGHvUrIck,2019 US Ban အပြီး ၆ နှစ်အကြာမှာ Huawei ဘာဖြစ်နေပြီလဲ?,141277,5471,346,20:50,1250,2026-01-13,12:31,Tuesday,Knowledge
2Rrq4p0AKuE,Free Energy ဆိုတာတကယ်ဖြစ်နိုင်လား????,159622,8461,687,21:44,1304,2026-01-09,12:30,Friday,Knowledge
XZXv6NOW82U,Nikola Tesla: ရာစုနှစ်တစ်ခုစောပြီးမွေးခဲ့တဲ့လူ,172544,8885,499,21:35,1295,2026-01-07,12:30,Wednesday,Knowledge
67BXw2LtOII,AI ကြောင့်ကွဲသွားတဲ့ထမင်းအိုးတွေ,78699,3886,207,13:40,820,2026-01-02,12:30,Friday,Knowledge
eufhBf6PqsE,Style လည်း ကျရမယ်၊ Battery လည်း ခံမှ ကြိုက်တယ်ဆိုတဲ့ လူတွေအတွက်,68940,2517,139,11:09,669,2025-12-27,12:30,Saturday,Showcases
nQAYUVf7WvA,vivo V60 Showcase,40433,1906,140,8:14,494,2025-12-24,12:31,Wednesday,Showcases
GFC68O6F0vE,eSIM က ရိုးရိုး SIM လောက်ကောင်းလို့လား,109857,5184,247,12:28,748,2025-12-23,12:30,Tuesday,Knowledge
rZtcn_LS704,HONOR X7d က ဘယ်လိုလူတွေအတွက် ဖြစ်မလဲ?,33102,1597,93,7:14,434,2025-12-22,12:31,Monday,Showcases
iReW3wwaork,AI ကြောင့်စျေးတက်လာတဲ့ မီတာခတွေ,94701,4315,216,22:02,1322,2025-12-19,12:31,Friday,Knowledge
z-jEaQL7Of4,ဘာလို့ နေရာတိုင်း USB ဖြစ်နေရတာလဲ?,50520,2882,96,10:27,627,2025-12-18,12:31,Thursday,Knowledge
VTKq7SFb2D8,RedMagic 11 Pro+ : ကမ္ဘာ့ပထမဆုံး Liquid Cooling Phone?,107692,4783,310,18:59,1139,2025-12-17,11:15,Wednesday,Review
